WYBÓR 	WYBÓRC 	WYBÓRD 	Identyfikator 	Indeks 	Asortyment 	Cena brutto 	jm 	Cena jednostki 	Cena opakowania 	PUSTY0 	Ident. 	S_Indeks 	S_Identyfikator 	S_Asortyment 	S_Cena brutto 	PUSTY1 
347	2.0295500000001936	12.03802999999856	 WOD.TOAL.N.CHAMPIONS CUP	6924574510106	KOSMETYKI	24,99	szt			=	16879	6924574510106	WOD.TOAL.N.CHAMPIONS CUP	KOSMETYKI	24,99	
348	2.0295600000001937	12.03803999999856	 WOD.TOAL.M.OFF R.XX 100ML	6924574506987	KOSMETYKI	22,99	szt			=	30099	6924574506987	WOD.TOAL.M.OFF R.XX 100ML	KOSMETYKI	22,99	
349	2.0295700000001937	12.03804999999856	 WOD.TOAL.M.OFF R.RACEE 100ML	6924574502989	KOSMETYKI	22,99	szt			=	15365	6924574502989	WOD.TOAL.M.OFF R.RACEE 100ML	KOSMETYKI	22,99	
350	2.029580000000194	12.03805999999856	 WOD.TOAL.M.OFF R.ON FIRE 100ML	6924574501982	KOSMETYKI	22,99	szt			=	30610	6924574501982	WOD.TOAL.M.OFF R.ON FIRE 100ML	KOSMETYKI	22,99	
351	2.029590000000194	12.038069999998559	 WOD.TOAL.M.FCLUB RED 100ML	6924574581694	KOSMETYKI	22,99	szt			=	21952	6924574581694	WOD.TOAL.M.FCLUB RED 100ML	KOSMETYKI	22,99	
352	2.029600000000194	12.038079999998558	 WOD.TOAL.M.FCLUB NIEBIESKA 100ML	6924574511691	KOSMETYKI	9,99	szt			=	10705	6924574511691	WOD.TOAL.M.FCLUB NIEBIESKA 100ML	KOSMETYKI	9,99	
353	2.029610000000194	12.038089999998558	 WOD.TOAL.M.FCLUB GREEN 100ML	6924574591693	KOSMETYKI	9,99	szt			=	25433	6924574591693	WOD.TOAL.M.FCLUB GREEN 100ML	KOSMETYKI	9,99	
354	2.029620000000194	12.038099999998558	 WOD.TOAL.M.FCLUB BLACK 100ML	6924574501692	KOSMETYKI	24,99	szt			=	12032	6924574501692	WOD.TOAL.M.FCLUB BLACK 100ML	KOSMETYKI	24,99	
355	2.029630000000194	12.038109999998557	 WOD.TOAL.KISS ME 100ML	6924574501364	KOSMETYKI	21,99	szt			=	17885	6924574501364	WOD.TOAL.KISS ME 100ML	KOSMETYKI	21,99	
356	2.029640000000194	12.038119999998557	 WOD.TOAL.KING ROYAL 100ML DAMSKA	6924574586897	KOSMETYKI	21,5	szt			=	17442	6924574586897	WOD.TOAL.KING ROYAL 100ML DAMSKA	KOSMETYKI	21,5	
357	2.0296500000001942	12.038129999998556	 WOD.TOAL.HOMME DE MER 100ML	6924574505621	KOSMETYKI	22,99	szt			=	31121	6924574505621	WOD.TOAL.HOMME DE MER 100ML	KOSMETYKI	22,99	
358	2.0296600000001943	12.038139999998556	 WOD.TOAL.FLEUR D"ORIENT	6924574588839	KOSMETYKI	22,99	szt			=	31276	6924574588839	WOD.TOAL.FLEUR D"ORIENT	KOSMETYKI	22,99	
359	2.0296700000001944	12.038149999998556	 WOD.TOAL.100 FLEUR ME UP	8718247060115	KOSMETYKI	25,99	szt			=	15298	8718247060115	WOD.TOAL.100 FLEUR ME UP	KOSMETYKI	25,99	
360	2.0296800000001944	12.038159999998555	 WOD.PERF.VERT.DELICE EARRINGS	3442151008875	KOSMETYKI	35,99	szt			=	27305	3442151008875	WOD.PERF.VERT.DELICE EARRINGS	KOSMETYKI	35,99	
361	2.0296900000001945	12.038169999998555	 WOD.PERF.VERT DELICE 100ML	3442151006222	KOSMETYKI	29,99	szt			=	15224	3442151006222	WOD.PERF.VERT DELICE 100ML	KOSMETYKI	29,99	
362	2.0297000000001946	12.038179999998555	 WOD.PERF.LARMES JOIE 100ML	6924574581182	KOSMETYKI	25,99	szt	cena 259.90z³/l		=	16592	6924574581182	WOD.PERF.LARMES JOIE 100ML	KOSMETYKI	25,99	
363	2.0297100000001946	12.038189999998554	 WOD.PERF.INCIDENCE 100ML	3442151006291	KOSMETYKI	29,99	szt			=	15168	3442151006291	WOD.PERF.INCIDENCE 100ML	KOSMETYKI	29,99	
364	2.0297200000001947	12.038199999998554	 WOD.PERF.ELMIRA 100ML	3442151008905	KOSMETYKI	38,99	szt			=	13176	3442151008905	WOD.PERF.ELMIRA 100ML	KOSMETYKI	38,99	
365	2.0297300000001948	12.038209999998553	 WIREK ¯EL 1L D/PR.LANOLINA BIA£E	5901711002411	CHEMIA	4,99	szt	cena 0.24z³/prañ		=	15068	5901711002411	WIREK ¯EL 1L D/PR.LANOLINA BIA£E	CHEMIA	4,99	
366	2.029740000000195	12.038219999998553	 WIREK ¯EL 1L D/PR.KOLOR	5901711002435	CHEMIA	4,99	szt	cena 0.24z³/prañ		=	17455	5901711002435	WIREK ¯EL 1L D/PR.KOLOR	CHEMIA	4,99	
367	2.029750000000195	12.038229999998553	 WIREK ¯EL 1L D/PR.CZARNY	5901711002428	CHEMIA	4,99	szt	cena 0.24z³/pran		=	14529	5901711002428	WIREK ¯EL 1L D/PR.CZARNY	CHEMIA	4,99	
368	2.029760000000195	12.038239999998552	 WIREK 4L P£.D/PR.RÓ¯OWY	5901711002084	CHEMIA	13,99	szt	cena 3.50z³/l		=	20139	5901711002084	WIREK 4L P£.D/PR.RÓ¯OWY	CHEMIA	13,99	
369	2.029770000000195	12.038249999998552	 WIREK 4L P£.D/PR.CZAR.	5901711001629	CHEMIA	13,99	szt	cena 3.50z³/l		=	24897	5901711001629	WIREK 4L P£.D/PR.CZAR.	CHEMIA	13,99	
370	2.029780000000195	12.038259999998552	 WIREK 1L P£.D/PR.RÓ¯OWY	5901711000288	CHEMIA	4,19	szt	cena 0.26z³/pran		=	20159	5901711000288	WIREK 1L P£.D/PR.RÓ¯OWY	CHEMIA	4,19	
371	2.029790000000195	12.038269999998551	 WIREK 1L P£.D/PR.CZARNY	5901711001438	CHEMIA	4,19	szt	cena 0.26z³/prañ		=	20160	5901711001438	WIREK 1L P£.D/PR.CZARNY	CHEMIA	4,19	
372	2.0298000000001952	12.03827999999855	 WINDOWS  750 A-PARA D/SZYB	5901474003199	CHEMIA	4,99	szt	cena 6.65z³/l		=	13859	5901474003199	WINDOWS  750 A-PARA D/SZYB	CHEMIA	4,99	
373	2.0298100000001953	12.03828999999855	 WILKINSON ¯YLETKI 5SZT	3663	HIGIENA	3,99	szt	cena 0.80z³/szt		=	23865	3663	WILKINSON ¯YLETKI 5SZT	HIGIENA	3,99	
374	2.0298200000001954	12.03829999999855	 WILKINSON X3 GOLARKA PROMOCJA	4027800110414	HIGIENA	2,49	szt			=	14847	4027800110414	WILKINSON X3 GOLARKA PROMOCJA	HIGIENA	2,49	
375	2.0298300000001954	12.03830999999855	 WIBO PREP.D/US.SKÓREK	59023005	KOSMETYKI	3,99	szt			=	27696	59023005	WIBO PREP.D/US.SKÓREK	KOSMETYKI	3,99	
376	2.0298400000001955	12.03831999999855	 WIBO OD¯.D/PAZN. WAPÑ 8ML	59022794	KOSMETYKI	3,99	szt			=	16394	59022794	WIBO OD¯.D/PAZN. WAPÑ 8ML	KOSMETYKI	3,99	
377	2.0298500000001956	12.038329999998549	 WIBO LIP GLOSS SPICY 3ML	5907439135608	KOSMETYKI	4,99	szt			=	17628	5907439135608	WIBO LIP GLOSS SPICY 3ML	KOSMETYKI	4,99	
378	2.0298600000001956	12.038339999998549	 WIBO LIP GLOSS 6ML MAXI	5907439134632	KOSMETYKI	5,5	szt			=	18359	5907439134632	WIBO LIP GLOSS 6ML MAXI	KOSMETYKI	5,5	
379	2.0298700000001957	12.038349999998548	 WIBO LAK.D/ZDOB.8ML	59024101	KOSMETYKI	5,5	szt			=	20568	59024101	WIBO LAK.D/ZDOB.8ML	KOSMETYKI	5,5	
380	2.0298800000001957	12.038359999998548	 WIBO LAK.D/PAZN.EXPRESS	5907439136094	KOSMETYKI	3,49	szt			=	19767	5907439136094	WIBO LAK.D/PAZN.EXPRESS	KOSMETYKI	3,49	
381	2.029890000000196	12.038369999998547	 WIBO KONTURÓWKA D/OCZU	59013907	KOSMETYKI	3,2	szt			=	20933	59013907	WIBO KONTURÓWKA D/OCZU	KOSMETYKI	3,2	
382	2.029900000000196	12.038379999998547	 WIBO EYE LINER CZARNY	5907439135936	KOSMETYKI	4,5	szt			=	18137	5907439135936	WIBO EYE LINER CZARNY	KOSMETYKI	4,5	
383	2.029910000000196	12.038389999998547	 WEZYR 0,45L DO DYWANÓW	WEZYR450ML	CHEMIA	6,99	szt	cena 15.53z³/l		=	21717	WEZYR450ML	WEZYR 0,45L DO DYWANÓW	CHEMIA	6,99	
384	2.029920000000196	12.038399999998546	 WELLATON KREM KOL.MIX	21857	KOSMETYKI	12,99	szt			=	25947	21857	WELLATON KREM KOL.MIX	KOSMETYKI	12,99	
385	2.029930000000196	12.038409999998546	 WELLAFLEX PIANKA D/W£OSÓW 200ML	4056800674077	KOSMETYKI	11,99	szt	cena 59.95z³/l		=	16159	4056800674077	WELLAFLEX PIANKA D/W£OSÓW 200ML	KOSMETYKI	11,99	
386	2.029940000000196	12.038419999998546	 WELLAFLEX LAKIER DO W£OSÓW 250ML	4056800946679	KOSMETYKI	11,99	szt	cena 47.96z³/l		=	25824	4056800946679	WELLAFLEX LAKIER DO W£OSÓW 250ML	KOSMETYKI	11,99	
387	2.029950000000196	12.038429999998545	 WELLA SZAMP.P.VOLUME 500ML	4056800975952	KOSMETYKI	13,99	szt	cena 27.98z³/l		=	21886	4056800975952	WELLA SZAMP.P.VOLUME 500ML	KOSMETYKI	13,99	
388	2.0299600000001963	12.038439999998545	 WELLA SZAMP.P.SHINE 500ML	4056800975693	KOSMETYKI	13,99	szt	cena 27.98z³/l		=	19587	4056800975693	WELLA SZAMP.P.SHINE 500ML	KOSMETYKI	13,99	
389	2.0299700000001963	12.038449999998544	 WELLA SZAMP.P.REPAIR 500ML	4056800975730	KOSMETYKI	13,99	szt	cena 27.98z³/l		=	28358	4056800975730	WELLA SZAMP.P.REPAIR 500ML	KOSMETYKI	13,99	
390	2.0299800000001964	12.038459999998544	 WELLA SZAMP.P.COLOR 500ML	4056800975808	KOSMETYKI	13,99	szt	cena 27.98z³/l		=	11105	4056800975808	WELLA SZAMP.P.COLOR 500ML	KOSMETYKI	13,99	
391	2.0299900000001965	12.038469999998544	 WELLA SHOCK LAK.EL.FORM.250ML	4056800699155	KOSMETYKI	8,0	szt			=	18151	4056800699155	WELLA SHOCK LAK.EL.FORM.250ML	KOSMETYKI	8,0	
392	2.0300000000001965	12.038479999998543	 WELLA OD¯.P.VOLUME 500ML	4056800976195	KOSMETYKI	13,99	szt	cena 27.98z³/l		=	30812	4056800976195	WELLA OD¯.P.VOLUME 500ML	KOSMETYKI	13,99	
393	2.0300100000001966	12.038489999998543	 WELLA OD¯.P.SHINE 500ML	4056800976096	KOSMETYKI	13,99	szt	cena 27.98z³/l		=	21179	4056800976096	WELLA OD¯.P.SHINE 500ML	KOSMETYKI	13,99	
394	2.0300200000001967	12.038499999998542	 WARS WODA SPORT 90ML	5900793032163	KOSMETYKI	5,99	szt			=	25508	5900793032163	WARS WODA SPORT 90ML	KOSMETYKI	5,99	
395	2.0300300000001967	12.038509999998542	 WARS P£.P/GOL.SPORT 90ML	5900793032149	KOSMETYKI	7,98	szt			=	19008	5900793032149	WARS P£.P/GOL.SPORT 90ML	KOSMETYKI	7,98	
396	2.030040000000197	12.038519999998542	 WANSOU PR.2+P£.MOUNTAIN	8595025818980	CHEMIA	19,99	duo			=	18204	8595025818980	WANSOU PR.2+P£.MOUNTAIN	CHEMIA	19,99	
397	2.030050000000197	12.038529999998541	 WANSOU PR.2+P£.ALOE	8595025819000	CHEMIA	19,99	duo			=	30386	8595025819000	WANSOU PR.2+P£.ALOE	CHEMIA	19,99	
398	2.030060000000197	12.038539999998541	 WANSOU 2L KONCENTRAT D/P£UKANIA	WANSOU2000	CHEMIA	8,99	szt	cena 4.50z³/l		=	14279	WANSOU2000	WANSOU 2L KONCENTRAT D/P£UKANIA	CHEMIA	8,99	
399	2.030070000000197	12.03854999999854	 WANSOU 1L BELLE LESSIVE D/PRANIA	8595025806321	CHEMIA	7,98	szt	cena 7.98z³/l		=	13237	8595025806321	WANSOU 1L BELLE LESSIVE D/PRANIA	CHEMIA	7,98	
400	2.030080000000197	12.03855999999854	 WANSOU 1,5L KONCENTRAT D/P£UKANIA	WANSOU1500	CHEMIA	5,99	szt	cena 3.99z³/l		=	27147	WANSOU1500	WANSOU 1,5L KONCENTRAT D/P£UKANIA	CHEMIA	5,99	
401	2.030090000000197	12.03856999999854	 VOIGT VC-410 DEZOPOL-MED 1L	5901370041004	CHEMIA	52,0	szt	cena 52.00z³/l		=	16780	5901370041004	VOIGT VC-410 DEZOPOL-MED 1L	CHEMIA	52,0	
402	2.030100000000197	12.03857999999854	 VOIGT VC-243 GRILLPOL	5901370024304	CHEMIA	14,5	szt	cena 14.50z³/l		=	14503	5901370024304	VOIGT VC-243 GRILLPOL	CHEMIA	14,5	
403	2.0301100000001973	12.038589999998539	 VOIGT VC-242 BRUDPUR 1L ZIELONY	5901370024205	CHEMIA	11,6	szt	cena 11.60z³/l		=	27205	5901370024205	VOIGT VC-242 BRUDPUR 1L ZIELONY	CHEMIA	11,6	
404	2.0301200000001973	12.038599999998539	 VOIGT VC-241 NANO 1L ORANGE	5901370024106	CHEMIA	14,6	szt	cena 14.60z³/l		=	18660	5901370024106	VOIGT VC-241 NANO 1L ORANGE	CHEMIA	14,6	
405	2.0301300000001974	12.038609999998538	 VIZIR PR.7,5KG KOLOR	4084500695757	CHEMIA	59,99	szt	cena 8.00z³/kg		=	26618	4084500695757	VIZIR PR.7,5KG KOLOR	CHEMIA	59,99	
406	2.0301400000001975	12.038619999998538	 VIZIR PR.7,5KG BIA£Y	4084500949690	CHEMIA	59,99	szt	cena 8.00z³/kg		=	30583	4084500949690	VIZIR PR.7,5KG BIA£Y	CHEMIA	59,99	
407	2.0301500000001975	12.038629999998538	 VIZIR PR.6KG KOLOR	5413149265189	CHEMIA	39,99	szt	cena 6.67z³/kg		=	20463	5413149265189	VIZIR PR.6KG KOLOR	CHEMIA	39,99	
408	2.0301600000001976	12.038639999998537	 VIZIR PR.5KG_REG+LENOR750ML	5410076890286	CHEMIA	39,99	szt	cena 8.00z³/kg		=	25354	5410076890286	VIZIR PR.5KG_REG+LENOR750ML	CHEMIA	39,99	
409	2.0301700000001976	12.038649999998537	 VIZIR PR.5KG_KOL+LENOR750ML	5410076890194	CHEMIA	39,99	szt	cena 8.00z³/kg		=	19752	5410076890194	VIZIR PR.5KG_KOL+LENOR750ML	CHEMIA	39,99	
410	2.0301800000001977	12.038659999998536	 VIZIR PR.5KG S.KOLOR	5413149308831	CHEMIA	39,99	szt	cena 8.00z³/kg		=	27150	5413149308831	VIZIR PR.5KG S.KOLOR	CHEMIA	39,99	
411	2.030190000000198	12.038669999998536	 VIZIR PR.5KG REGULAR	5413149308749	CHEMIA	39,99	szt	cena 8.00z³/kg		=	24506	5413149308749	VIZIR PR.5KG REGULAR	CHEMIA	39,99	
412	2.030200000000198	12.038679999998536	 VIZIR PR.5KG KOLOR	5413149308718	CHEMIA	39,99	szt	cena 8.00z³/kg		=	25028	5413149308718	VIZIR PR.5KG KOLOR	CHEMIA	39,99	
413	2.030210000000198	12.038689999998535	 VIZIR PR.4KG REG EC	5413149264212	CHEMIA	27,99	szt	cena 7.00z³/kg		=	14540	5413149264212	VIZIR PR.4KG REG EC	CHEMIA	27,99	
414	2.030220000000198	12.038699999998535	 VIZIR PR.4KG KOL.EC	5413149264533	CHEMIA	27,99	szt	cena 7.00z³/kg		=	31303	5413149264533	VIZIR PR.4KG KOL.EC	CHEMIA	27,99	
415	2.030230000000198	12.038709999998535	 VIZIR PR.4,5KG KOLOR	VIZIR_4,5KG_KOLOR	CHEMIA	39,99	szt	cena 8.89z³/kg		.	24599	VIZIR_4,5KG_KOLOR	VIZIR PR.4,5KG KOLOR	CHEMIA	29,99	
416	2.030240000000198	12.038719999998534	 VIZIR PR.4,5KG BIA£Y	VIZIR_4,5KG_BIA£Y	CHEMIA	39,99	szt	cena 8.89z³/kg		.	17895	VIZIR_4,5KG_BIA£Y	VIZIR PR.4,5KG BIA£Y	CHEMIA	29,99	
417	2.030250000000198	12.038729999998534	 VIZIR PR.4,4KG REG	5413149875555	CHEMIA	31,99	szt	cena 7.27z³/kg		=	26139	5413149875555	VIZIR PR.4,4KG REG	CHEMIA	31,99	
418	2.0302600000001982	12.038739999998533	 VIZIR PR.3,5KG.KOLOR+1L FAIRY	5410076641178	CHEMIA	30,98	op			=	31165	5410076641178	VIZIR PR.3,5KG.KOLOR+1L FAIRY	CHEMIA	30,98	
419	2.0302700000001983	12.038749999998533	 VIZIR PR.3,5KG REGULAR	5413149818569	CHEMIA	27,99	szt	cena 8.00z³/kg		=	16057	5413149818569	VIZIR PR.3,5KG REGULAR	CHEMIA	27,99	
420	2.0302800000001984	12.038759999998533	 VIZIR PR.3,5KG KOLOR	5413149818446	CHEMIA	27,99	szt	cena 8.00z³/kg		=	19029	5413149818446	VIZIR PR.3,5KG KOLOR	CHEMIA	27,99	
421	2.0302900000001984	12.038769999998532	 VIZIR PR.2KG EC.REGULAR	5413149264120	CHEMIA	15,99	szt	cena 8.00z³/kg		=	16172	5413149264120	VIZIR PR.2KG EC.REGULAR	CHEMIA	15,99	
422	2.0303000000001985	12.038779999998532	 VIZIR PR.2,8KG BIA£Y	4015600887926	CHEMIA	29,99	op	cena 10.71z³/kg		=	31166	4015600887926	VIZIR PR.2,8KG BIA£Y	CHEMIA	29,99	
423	2.0303100000001986	12.038789999998531	 VIZIR PR.1,7KG S.KOLOR	5413149935631	CHEMIA	14,99	szt	cena 8.82z³/kg		=	28232	5413149935631	VIZIR PR.1,7KG S.KOLOR	CHEMIA	14,99	
424	2.0303200000001986	12.038799999998531	 VIZIR PR. 400G COLOR	5413149264397	CHEMIA	5,29	szt	cena 13.22z³/kg		=	18668	5413149264397	VIZIR PR. 400G COLOR	CHEMIA	5,29	
425	2.0303300000001987	12.03880999999853	 VIZIR PR. 400G BIA£Y	5413149264038	CHEMIA	5,29	szt	cena 13.22z³/kg		=	21852	5413149264038	VIZIR PR. 400G BIA£Y	CHEMIA	5,29	
426	2.0303400000001988	12.03881999999853	 VIZIR PR. 300G KOLOR	4084500723351	CHEMIA	4,99	szt	cena 16.63z³/kg		=	26390	4084500723351	VIZIR PR. 300G KOLOR	CHEMIA	4,99	
427	2.030350000000199	12.03882999999853	 VITTORIO BELLUCI EDT 15ML	VB_15ML	KOSMETYKI	5,99	szt			=	25343	VB_15ML	VITTORIO BELLUCI EDT 15ML	KOSMETYKI	5,99	
428	2.030360000000199	12.03883999999853	 VESPA W SENSAZINE EDT 50ML	3607343772181	KOSMETYKI	84,0	szt			=	23053	3607343772181	VESPA W SENSAZINE EDT 50ML	KOSMETYKI	84,0	
429	2.030370000000199	12.03884999999853	 VESPA W SENSAZINE DNS 75ML	3607343772389	KOSMETYKI	29,99	szt			=	18803	3607343772389	VESPA W SENSAZINE DNS 75ML	KOSMETYKI	29,99	
430	2.030380000000199	12.038859999998529	 VESPA M SENSAZINE DNS 75ML	3607343772808	KOSMETYKI	29,99	szt			=	16042	3607343772808	VESPA M SENSAZINE DNS 75ML	KOSMETYKI	29,99	
431	2.030390000000199	12.038869999998528	 VESPA M EDT 30ML	3607349869472	KOSMETYKI	54,0	szt			=	31318	3607349869472	VESPA M EDT 30ML	KOSMETYKI	54,0	
432	2.030400000000199	12.038879999998528	 VERONA SPA ¯EL ORCHIDEA 250ML	5907619856132	KOSMETYKI	1,99	szt	cena 7.96z³/l		=	21143	5907619856132	VERONA SPA ¯EL ORCHIDEA 250ML	KOSMETYKI	1,99	
433	2.0304100000001992	12.038889999998528	 VERONA SPA ¯EL OLIWKOWY 250ML	5901468900282	KOSMETYKI	1,99	szt	cena 7.96z³/l		=	19019	5901468900282	VERONA SPA ¯EL OLIWKOWY 250ML	KOSMETYKI	1,99	
434	2.0304200000001993	12.038899999998527	 VERONA SPA ¯EL GRAPEFRUIT 250ML	5907619856064	KOSMETYKI	1,99	szt	cena 7.96z³/l		=	15380	5907619856064	VERONA SPA ¯EL GRAPEFRUIT 250ML	KOSMETYKI	1,99	
435	2.0304300000001994	12.038909999998527	 VERONA SPA ¯EL ALGI MORSKIE 250ML	5907619856156	KOSMETYKI	1,99	szt	cena 7.96z³/l		=	21781	5907619856156	VERONA SPA ¯EL ALGI MORSKIE 250ML	KOSMETYKI	1,99	
436	2.0304400000001994	12.038919999998527	 VERONA SPA SÓL K¥PIELOWA 600G D-O	5907619856118	KOSMETYKI	6,5	szt	cena 10.83z³/kg		=	28025	5907619856118	VERONA SPA SÓL K¥PIELOWA 600G D-O	KOSMETYKI	6,5	
437	2.0304500000001995	12.038929999998526	 VERONA SPA PEEL.ALGI MORSKIE 250ML	5907619856163	KOSMETYKI	10,9	szt	cena 43.60z³/l		=	23327	5907619856163	VERONA SPA PEEL.ALGI MORSKIE 250ML	KOSMETYKI	10,9	
438	2.0304600000001995	12.038939999998526	 VERONA SPA KR.R_OGÓREK 75ML	5901468900251	KOSMETYKI	1,99	szt	cena 2.65z³/100ml		=	29837	5901468900251	VERONA SPA KR.R_OGÓREK 75ML	KOSMETYKI	1,99	
439	2.0304700000001996	12.038949999998525	 VERONA SPA KR.R_JEDWAB 75ML	5901468900244	KOSMETYKI	1,99	szt			=	11102	5901468900244	VERONA SPA KR.R_JEDWAB 75ML	KOSMETYKI	1,99	
440	2.0304800000001997	12.038959999998525	 VERONA SPA KR.R_ALLOES 75ML	5901468900268	KOSMETYKI	1,99	szt	cena 2.65z³/100ml		=	27755	5901468900268	VERONA SPA KR.R_ALLOES 75ML	KOSMETYKI	1,99	
441	2.0304900000001997	12.038969999998525	 VERONA SPA KR.R.ALOES 100ML	5907619856873	KOSMETYKI	4,99	szt	cena 4.99z³/100ml		=	30237	5907619856873	VERONA SPA KR.R.ALOES 100ML	KOSMETYKI	4,99	
442	2.0305000000002	12.038979999998524	 VERONA SPA KR.250ML DZIKA ORCHIDEA	5907619856125	KOSMETYKI	11,99	szt			=	25785	5907619856125	VERONA SPA KR.250ML DZIKA ORCHIDEA	KOSMETYKI	11,99	
443	2.0305100000002	12.038989999998524	 VERONA RYANA SZ.09 KOL.	5907619856385	KOSMETYKI	3,2	szt			=	26671	5907619856385	VERONA RYANA SZ.09 KOL.	KOSMETYKI	3,2	
444	2.0305200000002	12.038999999998524	 VERONA RYANA SZ.08 KOL.	5907619856378	KOSMETYKI	3,2	szt			=	30969	5907619856378	VERONA RYANA SZ.08 KOL.	KOSMETYKI	3,2	
445	2.0305300000002	12.039009999998523	 VERONA RYANA SZ.07 KOL.	5907619856361	KOSMETYKI	3,2	szt			=	30968	5907619856361	VERONA RYANA SZ.07 KOL.	KOSMETYKI	3,2	
446	2.0305400000002	12.039019999998523	 VERONA RYANA SZ.06 KOL.	5907619856354	KOSMETYKI	3,2	szt			=	30972	5907619856354	VERONA RYANA SZ.06 KOL.	KOSMETYKI	3,2	
447	2.0305500000002	12.039029999998522	 VERONA RYANA SZ.05 KOL.	5907619856347	KOSMETYKI	3,2	szt			=	30973	5907619856347	VERONA RYANA SZ.05 KOL.	KOSMETYKI	3,2	
448	2.0305600000002	12.039039999998522	 VERONA RYANA SZ.04 KOL.	5907619856330	KOSMETYKI	3,2	szt			=	24265	5907619856330	VERONA RYANA SZ.04 KOL.	KOSMETYKI	3,2	
449	2.0305700000002003	12.039049999998522	 VERONA RYANA SZ.02 KOL.	5907619856316	KOSMETYKI	3,2	szt			=	25067	5907619856316	VERONA RYANA SZ.02 KOL.	KOSMETYKI	3,2	
450	2.0305800000002003	12.039059999998521	 VERONA RYANA SZ.01 KOL.	5907619856309	KOSMETYKI	3,2	szt			=	20975	5907619856309	VERONA RYANA SZ.01 KOL.	KOSMETYKI	3,2	
451	2.0305900000002004	12.039069999998521	 VERONA KR.R.PAPAJA 100ML	5907619856880	KOSMETYKI	4,99	szt	cena 4.99z³/100ml		=	25377	5907619856880	VERONA KR.R.PAPAJA 100ML	KOSMETYKI	4,99	
452	2.0306000000002005	12.03907999999852	 VERONA KR.R.BAMBUS 100ML	5907619856897	KOSMETYKI	4,99	szt	cena 4.99z³/100ml		=	16548	5907619856897	VERONA KR.R.BAMBUS 100ML	KOSMETYKI	4,99	
453	2.0306100000002005	12.03908999999852	 VERONA KR.R.ARGAN 100ML	5907619856903	KOSMETYKI	4,99	szt			=	20501	5907619856903	VERONA KR.R.ARGAN 100ML	KOSMETYKI	4,99	
454	2.0306200000002006	12.03909999999852	 VERONA HENNA KREM 10APLIKACJI	5901468900169	KOSMETYKI	4,99	szt			=	21996	5901468900169	VERONA HENNA KREM 10APLIKACJI	KOSMETYKI	4,99	
455	2.0306300000002007	12.03910999999852	 VENUS ¯EL INT__GOJA 250ML	5901501012446	KOSMETYKI	4,49	szt	cena 17.96z³/l		=	26183	5901501012446	VENUS ¯EL INT__GOJA 250ML	KOSMETYKI	4,49	
456	2.0306400000002007	12.039119999998519	 VENUS ¯EL INT__ALGI 250ML	5901501012422	KOSMETYKI	4,49	szt	cena 17.96z³/l		=	13071	5901501012422	VENUS ¯EL INT__ALGI 250ML	KOSMETYKI	4,49	
457	2.030650000000201	12.039129999998519	 VENUS ¯EL INT__ACAI 250ML	5901501012453	KOSMETYKI	4,49	szt	cena 17.96z³/l		=	20509	5901501012453	VENUS ¯EL INT__ACAI 250ML	KOSMETYKI	4,49	
458	2.030660000000201	12.039139999998518	 VENUS ¯EL INT_UROPROTECT 500ML	5901501016994	KOSMETYKI	6,99	szt	cena 13.98z³/l		=	23811	5901501016994	VENUS ¯EL INT_UROPROTECT 500ML	KOSMETYKI	6,99	
459	2.030670000000201	12.039149999998518	 VENUS ¯EL INT_NEUTR.500ML	5901501004649	KOSMETYKI	6,99	szt	cena 13.98z³/l		=	26678	5901501004649	VENUS ¯EL INT_NEUTR.500ML	KOSMETYKI	6,99	
460	2.030680000000201	12.039159999998517	 VENUS ¯EL INT_NAG.500ML	5901501007732	KOSMETYKI	6,99	szt	cena 13.98z³/l		=	20276	5901501007732	VENUS ¯EL INT_NAG.500ML	KOSMETYKI	6,99	
461	2.030690000000201	12.039169999998517	 VENUS ¯EL INT_K.D.500ML	5901501004670	KOSMETYKI	6,99	szt	cena 13.98z³/l		=	16047	5901501004670	VENUS ¯EL INT_K.D.500ML	KOSMETYKI	6,99	
462	2.030700000000201	12.039179999998517	 VENUS ¯EL INT_ALOES 500ML	5901501004656	KOSMETYKI	6,99	szt	cena 13.98z³/l		=	16212	5901501004656	VENUS ¯EL INT_ALOES 500ML	KOSMETYKI	6,99	
463	2.030710000000201	12.039189999998516	 VENUS ¯EL D/R¥K 50ML ANTYBAKTER	5901501010732	KOSMETYKI	4,99	szt	cena 9.98z³/100ml		=	22624	5901501010732	VENUS ¯EL D/R¥K 50ML ANTYBAKTER	KOSMETYKI	4,99	
464	2.0307200000002013	12.039199999998516	 VENUS ¯EL D/GOLENIA DAMSKI 200ML	5901501013856	KOSMETYKI	12,99	szt			=	24569	5901501013856	VENUS ¯EL D/GOLENIA DAMSKI 200ML	KOSMETYKI	12,99	
465	2.0307300000002013	12.039209999998516	 VENUS SERUM 200ML ROZSTÊPY	5901501016031	KOSMETYKI	4,99	szt			=	14120	5901501016031	VENUS SERUM 200ML ROZSTÊPY	KOSMETYKI	4,99	
466	2.0307400000002014	12.039219999998515	 VENUS SERUM 200ML CELLULIT	5901501016024	KOSMETYKI	4,99	szt			=	16652	5901501016024	VENUS SERUM 200ML CELLULIT	KOSMETYKI	4,99	
